# ---$x/\lambda_\mathrm{l}$---	---$z/\lambda_\mathrm{l}$---
0.984375 0.0248098
0.985352 0.0248096
0.986328 0.0248089
0.987305 0.0248076
0.988281 0.0248058
0.989258 0.0248034
0.990234 0.0248005
0.991211 0.0247971
0.992188 0.0247931
0.993164 0.0247885
0.994141 0.0247834
0.995117 0.0247776
0.996094 0.0247712
0.99707 0.0247641
0.998047 0.0247564
0.999023 0.0247479
1 0.0247387
1.00098 0.0247288
1.00195 0.024718
1.00293 0.0247064
1.00391 0.0246939
1.00488 0.0246804
1.00586 0.0246659
1.00684 0.0246504
1.00781 0.0246338
1.00879 0.024616
1.00977 0.024597
1.01074 0.0245766
1.01172 0.0245548
1.0127 0.0245316
1.01367 0.0245067
1.01465 0.0244802
1.01562 0.0244519
1.0166 0.0244217
1.01758 0.0243896
1.01855 0.0243553
1.01953 0.0243187
1.02051 0.0242796
1.02148 0.024238
1.02246 0.0241936
1.02344 0.024146
1.02441 0.0240951
1.02539 0.0240404
1.02637 0.0239814
1.02734 0.0239176
1.02832 0.0238482
1.0293 0.0237726
1.03027 0.0236897
1.03125 0.0235985
1.03223 0.0234979
1.0332 0.0233862
1.03418 0.0232622
1.03516 0.0231239
1.03613 0.0229694
1.03711 0.0227898
1.03809 0.02256
1.03906 0.0223964
1.04004 0.0223301
1.04102 0.0223363
1.04199 0.0223878
1.04297 0.0224666
1.04395 0.0225647
1.04492 0.0226783
1.0459 0.0227974
1.04688 0.0228871
1.04785 0.0229539
1.04883 0.022998
1.0498 0.0230153
1.05078 0.0229932
1.05176 0.0229294
1.05273 0.0228646
1.05371 0.0228176
1.05469 0.0227926
1.05566 0.0227821
1.05664 0.0227746
1.05762 0.0227617
1.05859 0.0227448
1.05957 0.0227338
1.06055 0.0227416
1.06152 0.0227758
1.0625 0.0228339
1.06348 0.0229036
1.06445 0.0229682
1.06543 0.023014
1.06641 0.0230351
1.06738 0.0230337
1.06836 0.0230148
1.06934 0.0229801
1.07031 0.0229242
1.07129 0.0228391
1.07227 0.0227193
1.07324 0.0225668
1.07422 0.0223938
1.0752 0.022221
1.07617 0.0220774
1.07715 0.0219828
1.07812 0.02194
1.0791 0.0219342
1.08008 0.0219385
1.08105 0.0219252
1.08203 0.0218757
1.08301 0.0217872
1.08398 0.0216708
1.08496 0.0215444
1.08594 0.0214248
1.08691 0.0213217
1.08789 0.021237
1.08887 0.0211687
1.08984 0.0211159
1.09082 0.0210812
1.0918 0.0210696
1.09277 0.0210834
1.09375 0.0211181
1.09473 0.0211596
1.0957 0.0211878
1.09668 0.0211827
1.09766 0.0211323
1.09863 0.0210365
1.09961 0.0209063
1.10059 0.0207586
1.10156 0.0206082
1.10254 0.0204634
1.10352 0.0203242
1.10449 0.0201865
1.10547 0.0200474
1.10645 0.0199111
1.10742 0.0197892
1.1084 0.0196987
1.10938 0.0196563
1.11035 0.0196733
1.11133 0.0197529
1.1123 0.0198909
1.11328 0.020078
1.11426 0.0203027
1.11523 0.0205526
1.11621 0.0208132
1.11719 0.021068
1.11816 0.0212981
1.11914 0.0214857
1.12012 0.0216186
1.12109 0.0216955
1.12207 0.0217276
1.12305 0.0217369
1.12402 0.0217499
1.125 0.02179
1.12598 0.0218716
1.12695 0.0219976
1.12793 0.0221613
1.12891 0.0223512
1.12988 0.0225558
1.13086 0.0227658
1.13184 0.0229739
1.13281 0.0231719
1.13379 0.0233484
1.13477 0.0234896
1.13574 0.0235814
1.13672 0.0236153
1.1377 0.0235927
1.13867 0.0235263
1.13965 0.0234382
1.14062 0.0233542
1.1416 0.0232976
1.14258 0.0232831
1.14355 0.0233144
1.14453 0.0233845
1.14551 0.0234777
1.14648 0.0235743
1.14746 0.0236535
1.14844 0.0236974
1.14941 0.0236946
1.15039 0.0236423
1.15137 0.0235478
1.15234 0.0234271
1.15332 0.023301
1.1543 0.0231887
1.15527 0.0231015
1.15625 0.0230393
1.15723 0.0229917
1.1582 0.0229437
1.15918 0.0228853
1.16016 0.0228184
1.16113 0.0227597
1.16211 0.0227364
1.16309 0.0227763
1.16406 0.0228958
1.16504 0.0230927
1.16602 0.0233454
1.16699 0.0236212
1.16797 0.0238882
1.16895 0.0241278
1.16992 0.0243398
1.1709 0.0245399
1.17188 0.0247493
1.17285 0.0249804
1.17383 0.0252116
1.1748 0.0254081
1.17578 0.0255812
1.17676 0.0257306
1.17773 0.0258563
1.17871 0.0259586
1.17969 0.0260377
1.18066 0.0260975
1.18164 0.0261549
1.18262 0.0262289
1.18359 0.0263262
1.18457 0.0264434
