# ---$x/\lambda_\mathrm{l}$---	---$z/\lambda_\mathrm{l}$---
-0.999023 0.0261693
-0.998047 0.026167
-0.99707 0.026162
-0.996094 0.0261541
-0.995117 0.0261429
-0.994141 0.0261282
-0.993164 0.0261094
-0.992188 0.0260861
-0.991211 0.0260574
-0.990234 0.0260224
-0.989258 0.0259799
-0.988281 0.0259302
-0.987305 0.0258821
-0.986328 0.0258424
-0.985352 0.025808
-0.984375 0.0257728
-0.983398 0.0257362
-0.982422 0.025697
-0.981445 0.025654
-0.980469 0.0256063
-0.979492 0.0255527
-0.978516 0.0254928
-0.977539 0.025426
-0.976562 0.0253522
-0.975586 0.025271
-0.974609 0.0251819
-0.973633 0.0250846
-0.972656 0.0249783
-0.97168 0.0248624
-0.970703 0.0247361
-0.969727 0.0245977
-0.96875 0.0244456
-0.967773 0.024277
-0.966797 0.024088
-0.96582 0.0238729
-0.964844 0.0236209
-0.963867 0.0232929
-0.962891 0.0229057
-0.961914 0.0226146
-0.960938 0.0224415
-0.959961 0.0223714
-0.958984 0.0223759
-0.958008 0.0224265
-0.957031 0.0225049
-0.956055 0.022603
-0.955078 0.0227172
-0.954102 0.0228398
-0.953125 0.0229557
-0.952148 0.0230447
-0.951172 0.0230897
-0.950195 0.0230845
-0.949219 0.023038
-0.948242 0.0229705
-0.947266 0.0229053
-0.946289 0.0228586
-0.945312 0.0228344
-0.944336 0.022825
-0.943359 0.0228182
-0.942383 0.0228059
-0.941406 0.0227893
-0.94043 0.0227782
-0.939453 0.0227857
-0.938477 0.0228194
-0.9375 0.022877
-0.936523 0.0229463
-0.935547 0.0230105
-0.93457 0.0230561
-0.933594 0.0230772
-0.932617 0.0230761
-0.931641 0.023058
-0.930664 0.0230252
-0.929688 0.0229731
-0.928711 0.0228922
-0.927734 0.022774
-0.926758 0.0226194
-0.925781 0.0224423
-0.924805 0.0222674
-0.923828 0.0221222
-0.922852 0.0220263
-0.921875 0.0219827
-0.920898 0.0219762
-0.919922 0.02198
-0.918945 0.0219661
-0.917969 0.0219161
-0.916992 0.0218272
-0.916016 0.0217104
-0.915039 0.0215837
-0.914062 0.0214638
-0.913086 0.0213604
-0.912109 0.0212755
-0.911133 0.0212071
-0.910156 0.0211541
-0.90918 0.0211193
-0.908203 0.0211076
-0.907227 0.0211214
-0.90625 0.0211561
-0.905273 0.0211975
-0.904297 0.0212255
-0.90332 0.0212203
-0.902344 0.0211695
-0.901367 0.0210733
-0.900391 0.0209426
-0.899414 0.0207943
-0.898438 0.0206436
-0.897461 0.0204984
-0.896484 0.0203588
-0.895508 0.0202207
-0.894531 0.0200814
-0.893555 0.0199447
-0.892578 0.0198226
-0.891602 0.0197319
-0.890625 0.0196894
-0.889648 0.0197063
-0.888672 0.0197858
-0.887695 0.0199236
-0.886719 0.0201106
-0.885742 0.0203351
-0.884766 0.0205847
-0.883789 0.0208451
-0.882812 0.0210995
-0.881836 0.0213292
-0.880859 0.0215163
-0.879883 0.0216487
-0.878906 0.0217251
-0.87793 0.0217569
-0.876953 0.0217658
-0.875977 0.0217785
-0.875 0.0218184
-0.874023 0.0218998
-0.873047 0.0220256
-0.87207 0.0221891
-0.871094 0.0223787
-0.870117 0.022583
-0.869141 0.0227927
-0.868164 0.0230004
-0.867188 0.023198
-0.866211 0.0233741
