# ---X---	---$\sigma/E^\mathrm{*}$---
0.528833 -0.10488
0.538811 -0.104098
0.548789 -0.103294
0.558767 -0.102469
0.568745 -0.101622
0.578723 -0.100754
0.588701 -0.0998623
0.598679 -0.0989473
0.608657 -0.0980083
0.618635 -0.0970449
0.628613 -0.0960556
0.638591 -0.0950406
0.648569 -0.0939977
0.658547 -0.0929277
0.668525 -0.0918283
0.678503 -0.0906993
0.688481 -0.0895384
0.698459 -0.0883461
0.708437 -0.0871191
0.718415 -0.0858583
0.728393 -0.0845598
0.738371 -0.0832241
0.748349 -0.0818472
0.758327 -0.0804292
0.768305 -0.0789654
0.778283 -0.0774565
0.788261 -0.0758964
0.798239 -0.0742852
0.808217 -0.0726159
0.818195 -0.0708889
0.828173 -0.0690952
0.838151 -0.0672346
0.848129 -0.0652958
0.858107 -0.0632785
0.868085 -0.0611674
0.878063 -0.0589614
0.888041 -0.0566401
0.898019 -0.0542
0.907997 -0.0516121
0.917975 -0.0488696
0.927953 -0.045926
0.937931 -0.0427676
0.947909 -0.0393119
0.957887 -0.0355227
0.967865 -0.0312257
0.977843 -0.0262962
0.987821 -0.0201788
0.997799 -0.0119397
1.00778 0.000366166
1.01775 0.000427766
1.02773 0.000430847
1.03771 0.000422873
1.04769 0.000415747
1.05767 0.000408563
1.06764 0.000401845
1.07762 0.000395076
1.0876 0.000388522
1.09758 0.000382185
1.10756 0.000376072
1.11753 0.000370058
1.12751 0.000364278
1.13749 0.000358606
1.14747 0.000352921
1.15745 0.000347483
1.16742 0.000342298
1.1774 0.000337242
1.18738 0.000332188
1.19736 0.000327272
1.20734 0.000322495
1.21731 0.000317734
1.22729 0.00031325
1.23727 0.000308917
1.24725 0.00030461
1.25723 0.000300462
1.2672 0.000296216
1.27718 0.000292263
1.28716 0.000288349
1.29714 0.000284476
1.30712 0.000280775
1.31709 0.00027699
1.32707 0.000273514
1.33705 0.000269958
1.34703 0.000266585
1.35701 0.000263268
1.36698 0.000259879
1.37696 0.000256808
1.38694 0.000253669
1.39692 0.000250595
1.4069 0.000247585
1.41687 0.000244514
1.42685 0.00024164
1.43683 0.000238966
1.44681 0.000236236
1.45679 0.00023345
1.46676 0.000230868
1.47674 0.000228363
1.48672 0.000225678
1.4967 0.000223201
1.50668 0.000220805
1.51665 0.000218363
1.52663 0.000216003
1.53661 0.000213727
1.54659 0.000211538
1.55657 0.000209305
1.56654 0.000207161
1.57652 0.000204977
1.5865 0.000202882
1.59648 0.000200878
1.60646 0.000198836
1.61643 0.000196888
1.62641 0.000195032
1.63639 0.000193142
1.64637 0.000191218
1.65635 0.00018939
1.66632 0.00018753
1.6763 0.000185768
1.68628 0.000184104
1.69626 0.000182409
1.70624 0.000180686
1.71621 0.000179062
1.72619 0.000177411
1.73617 0.000175862
1.74615 0.000174286
1.75613 0.000172683
1.7661 0.000171314
1.77608 0.00016979
1.78606 0.000168371
1.79604 0.000166927
1.80602 0.000165461
1.81599 0.000164101
1.82597 0.000162718
1.83595 0.000161443
1.84593 0.000160146
1.85591 0.000158829
1.86588 0.000157491
1.87586 0.000156262
1.88584 0.000155142
1.89582 0.000153874
1.9058 0.000152587
1.91577 0.00015141
1.92575 0.000150346
1.93573 0.000149263
1.94571 0.000148033
1.95569 0.000146916
1.96566 0.000145911
1.97564 0.000144761
1.98562 0.000143724
1.9956 0.0001428
2.00558 0.000141603
2.01555 0.000140649
2.02553 0.00013981
2.03551 0.000138697
2.04549 0.0001377
2.05547 0.000136817
2.06544 0.000135922
2.07542 0.000134883
2.0854 0.00013396
2.09538 0.000133283
2.10536 0.000132335
2.11533 0.000131374
2.12531 0.000130531
2.13529 0.000129675
2.14527 0.000128937
2.15525 0.000128058
