# ---$r/a_\mathrm{H}$---	---$\mathbf{v}(\sigma_\mathrm{I}^\mathrm{max})$---
1.50668 0.00656655
1.51665 0.00649875
1.52663 0.00651917
1.53661 0.00635435
1.54659 0.00637307
1.55657 0.00629772
1.56654 0.00631627
1.57652 0.00623933
1.5865 0.00625777
1.59648 0.00617712
1.60646 0.00609471
1.61643 0.00611138
1.62641 0.00602526
1.63639 0.006043
1.64637 0.00595467
1.65635 0.00586333
1.66632 0.00588076
1.6763 0.00589669
1.68628 0.00591216
1.69626 0.00581738
1.70624 0.00583353
1.71621 0.00573465
1.72619 0.00563452
1.73617 0.00564862
1.74615 0.00554472
1.75613 0.00555916
1.7661 0.0055719
1.77608 0.00558686
1.78606 0.00547689
1.79604 0.0054908
1.80602 0.00537856
1.81599 0.00539135
1.82597 0.00540484
1.83595 0.00541763
1.84593 0.00529889
1.85591 0.00531175
1.86588 0.00519013
1.87586 0.0052018
1.88584 0.00521266
1.89582 0.00508612
1.9058 0.00509827
1.91577 0.00496726
1.92575 0.00512054
1.93573 0.00513183
1.94571 0.0049984
1.95569 0.00500949
1.96566 0.00486998
1.97564 0.00488086
1.98562 0.00489073
1.9956 0.00489983
2.00558 0.00475673
2.01555 0.0047654
2.02553 0.00477319
2.03551 0.00478446
2.04549 0.00479489
2.05547 0.00480424
2.06544 0.00481394
2.07542 0.00465935
2.0854 0.00466872
2.09538 0.00467544
2.10536 0.00468586
2.11533 0.00452387
2.12531 0.00453206
2.13529 0.00454063
2.14527 0.00454798
2.15525 0.00437856
2.16522 0.00438529
2.1752 0.00457471
2.18518 0.00440173
2.19516 0.00440969
2.20514 0.00422944
2.21511 0.00442376
2.22509 0.00424256
2.23507 0.00444124
2.24505 0.00425601
2.25503 0.0042633
2.265 0.00427067
2.27498 0.00407815
2.28496 0.00408334
2.29494 0.00409042
2.30492 0.00409781
2.31489 0.00410381
2.32487 0.0041084
2.33485 0.00390643
2.34483 0.00391015
2.35481 0.00412794
2.36478 0.00392177
2.37476 0.00392637
2.38474 0.00393148
2.39472 0.00393669
2.40469 0.00394223
2.41467 0.00394809
2.42465 0.00395252
2.43463 0.00395906
2.44461 0.00396573
2.45458 0.00373981
2.46456 0.00374537
2.47454 0.00375107
2.48452 0.00375362
2.4945 0.00375851
2.50447 0.00376331
2.51445 0.00352823
2.52443 0.00377342
2.53441 0.00365535
2.54439 0.00363538
2.55436 0.00361472
2.56434 0.00361838
2.57432 0.00357203
2.5843 0.00357587
2.59428 0.00352889
2.60425 0.00353212
2.61423 0.00350953
2.62421 0.00348725
2.63419 0.00349048
2.64417 0.00346709
2.65414 0.0034175
2.66412 0.00342038
2.6741 0.00339637
2.68408 0.00339923
2.69406 0.00337473
2.70403 0.00335013
2.71401 0.00335286
2.72399 0.00332751
2.73397 0.00330216
2.74395 0.00327643
2.75392 0.00327869
2.7639 0.00325241
2.77388 0.00322548
2.78386 0.00319912
2.79384 0.00320104
2.80381 0.00320285
2.81379 0.0031755
2.82377 0.0031475
2.83375 0.00314917
2.84373 0.00312082
2.8537 0.00312235
2.86368 0.00309367
2.87366 0.00306503
2.88364 0.00306613
2.89362 0.00303618
2.90359 0.00300656
2.91357 0.00300757
2.92355 0.00297696
2.93353 0.00297812
2.94351 0.00297899
2.95348 0.0029478
2.96346 0.0029166
2.97344 0.0029171
2.98342 0.00288516
2.9934 0.00288575
3.00337 0.00285321
3.01335 0.00282067
3.02333 0.00282091
3.03331 0.00282073
3.04329 0.00278733
3.05326 0.00278761
3.06324 0.00275363
3.07322 0.0027537
3.0832 0.00271913
3.09318 0.00271886
