# ---X---	---$\sigma/E^\mathrm{*}$---
1.32707 3.38278e-07
1.33705 3.28381e-07
1.34703 3.18931e-07
1.35701 3.09811e-07
1.36698 3.00906e-07
1.37696 2.9251e-07
1.38694 2.84308e-07
1.39692 2.76395e-07
1.4069 2.68759e-07
1.41687 2.61295e-07
1.42685 2.54188e-07
1.43683 2.47427e-07
1.44681 2.40815e-07
1.45679 2.34349e-07
1.46676 2.28202e-07
1.47674 2.22279e-07
1.48672 2.16394e-07
1.4967 2.10808e-07
1.50668 2.05427e-07
1.51665 2.00159e-07
1.52663 1.95083e-07
1.53661 1.90195e-07
1.54659 1.85492e-07
1.55657 1.80882e-07
1.56654 1.76447e-07
1.57652 1.721e-07
1.5865 1.67919e-07
1.59648 1.63897e-07
1.60646 1.59955e-07
1.61643 1.56166e-07
1.62641 1.52526e-07
1.63639 1.48954e-07
1.64637 1.45451e-07
1.65635 1.42088e-07
1.66632 1.38788e-07
1.6763 1.35621e-07
1.68628 1.32584e-07
1.69626 1.29602e-07
1.70624 1.26676e-07
1.71621 1.2387e-07
1.72619 1.21114e-07
1.73617 1.18478e-07
1.74615 1.15886e-07
1.75613 1.13341e-07
1.7661 1.10973e-07
1.77608 1.08579e-07
1.78606 1.06293e-07
1.79604 1.04044e-07
1.80602 1.01834e-07
1.81599 9.97252e-08
1.82597 9.76507e-08
1.83595 9.56738e-08
1.84593 9.37289e-08
1.85591 9.1816e-08
1.86588 8.9934e-08
1.87586 8.81429e-08
1.88584 8.64406e-08
1.89582 8.47052e-08
1.9058 8.29975e-08
1.91577 8.13748e-08
1.92575 7.98374e-08
1.93573 7.83219e-08
1.94571 7.67719e-08
1.95569 7.53038e-08
1.96566 7.39133e-08
1.97564 7.24887e-08
1.98562 7.11404e-08
1.9956 6.98675e-08
2.00558 6.85024e-08
2.01555 6.72678e-08
2.02553 6.61051e-08
2.03551 6.4851e-08
2.04549 6.36683e-08
2.05547 6.25557e-08
2.06544 6.14588e-08
2.07542 6.03242e-08
2.0854 5.92574e-08
2.09538 5.83099e-08
2.10536 5.72716e-08
2.11533 5.62474e-08
2.12531 5.52885e-08
2.13529 5.43419e-08
2.14527 5.34584e-08
2.15525 5.25362e-08
2.16522 5.16761e-08
2.1752 5.08271e-08
2.18518 4.99405e-08
2.19516 4.91133e-08
2.20514 4.83449e-08
2.21511 4.75872e-08
2.22509 4.67906e-08
2.23507 4.60518e-08
2.24505 4.53216e-08
2.25503 4.46009e-08
2.265 4.38887e-08
2.27498 4.32314e-08
2.28496 4.25825e-08
2.29494 4.18956e-08
2.30492 4.12163e-08
2.31489 4.05909e-08
2.32487 4.0018e-08
2.33485 3.94066e-08
2.34483 3.88466e-08
2.35481 3.82495e-08
2.36478 3.76586e-08
2.37476 3.71186e-08
2.38474 3.65846e-08
2.39472 3.60569e-08
2.40469 3.55348e-08
2.41467 3.50187e-08
2.42465 3.45505e-08
2.43463 3.40455e-08
2.44461 3.35454e-08
2.45458 3.31352e-08
2.46456 3.26451e-08
2.47454 3.21606e-08
2.48452 3.17643e-08
2.4945 3.13311e-08
2.50447 3.09022e-08
2.51445 3.04772e-08
2.52443 3.0065e-08
2.53441 2.96937e-08
2.54439 2.92895e-08
2.55436 2.89056e-08
2.56434 2.85334e-08
2.57432 2.81653e-08
2.5843 2.78006e-08
2.59428 2.74472e-08
2.60425 2.71009e-08
2.61423 2.67621e-08
2.62421 2.64267e-08
2.63419 2.60982e-08
2.64417 2.57767e-08
2.65414 2.54581e-08
2.66412 2.51502e-08
2.6741 2.48489e-08
2.68408 2.45504e-08
2.69406 2.42546e-08
2.70403 2.39652e-08
2.71401 2.36859e-08
2.72399 2.34127e-08
2.73397 2.31384e-08
2.74395 2.28701e-08
2.75392 2.26078e-08
2.7639 2.23514e-08
2.77388 2.21009e-08
2.78386 2.18489e-08
2.79384 2.16063e-08
2.80381 2.13657e-08
2.81379 2.11307e-08
2.82377 2.09012e-08
2.83375 2.06737e-08
2.84373 2.04515e-08
2.8537 2.02346e-08
2.86368 2.00196e-08
2.87366 1.98026e-08
2.88364 1.9598e-08
2.89362 1.9395e-08
2.90359 1.919e-08
2.91357 1.8997e-08
2.92355 1.88055e-08
2.93353 1.8612e-08
2.94351 1.84235e-08
2.95348 1.82397e-08
2.96346 1.80607e-08
2.97344 1.78831e-08
2.98342 1.77067e-08
2.9934 1.7535e-08
3.00337 1.73646e-08
3.01335 1.71987e-08
3.02333 1.70373e-08
3.03331 1.68771e-08
3.04329 1.6718e-08
3.05326 1.65632e-08
3.06324 1.64096e-08
3.07322 1.62603e-08
3.0832 1.6112e-08
3.09318 1.59647e-08
3.10315 1.58217e-08
3.11313 1.56828e-08
3.12311 1.55448e-08
3.13309 1.54078e-08
3.14307 1.52748e-08
3.15304 1.51395e-08
3.16302 1.50114e-08
3.173 1.48842e-08
3.18298 1.47577e-08
3.19296 1.46351e-08
3.20293 1.45134e-08
3.21291 1.43924e-08
3.22289 1.42752e-08
3.23287 1.41619e-08
3.24285 1.40461e-08
3.25282 1.3931e-08
3.2628 1.38228e-08
3.27278 1.37152e-08
3.28276 1.36051e-08
3.29274 1.34988e-08
3.30271 1.33961e-08
3.31269 1.32939e-08
3.32267 1.31924e-08
3.33265 1.30944e-08
3.34263 1.2997e-08
3.3526 1.29032e-08
3.36258 1.28068e-08
3.37256 1.27109e-08
3.38254 1.26215e-08
3.39252 1.25326e-08
3.40249 1.24412e-08
3.41247 1.23532e-08
3.42245 1.22686e-08
3.43243 1.21815e-08
3.44241 1.20977e-08
3.45238 1.20174e-08
3.46236 1.19345e-08
3.47234 1.18549e-08
3.48232 1.17786e-08
3.4923 1.16997e-08
3.50227 1.16213e-08
3.51225 1.15461e-08
3.52223 1.14741e-08
3.53221 1.13996e-08
3.54219 1.13254e-08
3.55216 1.12573e-08
3.56214 1.11866e-08
3.57212 1.11162e-08
3.5821 1.10519e-08
3.59208 1.0985e-08
3.60205 1.09155e-08
3.61203 1.08519e-08
3.62201 1.07887e-08
