# ---X---	---$p_\mathrm{z}/p_\mathrm{H}$---
3.48232 3.8111e-07
3.4923 3.81141e-07
3.50227 3.81172e-07
3.51225 3.81202e-07
3.52223 3.81232e-07
3.53221 3.81263e-07
3.54219 3.81292e-07
3.55216 3.81321e-07
3.56214 3.81351e-07
3.57212 3.8138e-07
3.5821 3.81409e-07
3.59208 3.81438e-07
3.60205 3.81466e-07
3.61203 3.81494e-07
3.62201 3.81522e-07
3.63199 3.81549e-07
3.64197 3.81576e-07
3.65194 3.81604e-07
3.66192 3.81631e-07
3.6719 3.81657e-07
3.68188 3.81685e-07
3.69186 3.8171e-07
3.70183 3.81737e-07
3.71181 3.81763e-07
3.72179 3.81788e-07
3.73177 3.81814e-07
3.74175 3.81839e-07
3.75172 3.81864e-07
3.7617 3.81889e-07
3.77168 3.81913e-07
3.78166 3.81938e-07
3.79164 3.81962e-07
3.80161 3.81986e-07
3.81159 3.8201e-07
3.82157 3.82033e-07
3.83155 3.82056e-07
3.84153 3.8208e-07
3.8515 3.82103e-07
3.86148 3.82125e-07
3.87146 3.82148e-07
3.88144 3.8217e-07
3.89142 3.82192e-07
3.90139 3.82214e-07
3.91137 3.82236e-07
3.92135 3.82257e-07
3.93133 3.82279e-07
3.94131 3.82299e-07
3.95128 3.8232e-07
3.96126 3.82341e-07
3.97124 3.82361e-07
3.98122 3.82382e-07
3.99119 3.82402e-07
4.00117 3.82421e-07
4.01115 3.82441e-07
4.02113 3.82461e-07
4.03111 3.8248e-07
4.04108 3.82499e-07
4.05106 3.82518e-07
4.06104 3.82536e-07
4.07102 3.82555e-07
4.081 3.82573e-07
4.09097 3.82592e-07
4.10095 3.82609e-07
4.11093 3.82627e-07
4.12091 3.82644e-07
4.13089 3.82661e-07
4.14086 3.82679e-07
4.15084 3.82696e-07
4.16082 3.82713e-07
4.1708 3.82729e-07
4.18078 3.82746e-07
4.19075 3.82762e-07
4.20073 3.82778e-07
4.21071 3.82793e-07
