# ---X---	---$u_\mathrm{z}$---
-0.379164 0.00273817
-0.369186 0.00259947
-0.359208 0.00246457
-0.34923 0.00233346
-0.339252 0.00220616
-0.329274 0.00208265
-0.319296 0.00196294
-0.309318 0.00184702
-0.29934 0.00173491
-0.289362 0.0016266
-0.279384 0.00152208
-0.269406 0.00142137
-0.259428 0.00132446
-0.24945 0.00123134
-0.239472 0.00114202
-0.229494 0.00105651
-0.219516 0.000974793
-0.209538 0.000896877
-0.19956 0.000822762
-0.189582 0.000752447
-0.179604 0.000685932
-0.169626 0.000623218
-0.159648 0.000564304
-0.14967 0.000509191
-0.139692 0.000457878
-0.129714 0.000410366
-0.119736 0.000366655
-0.109758 0.000326745
-0.0997799 0.000290635
-0.0898019 0.000258327
-0.0798239 0.000229819
-0.0698459 0.000205113
-0.0598679 0.000184207
-0.0498899 0.000167102
-0.0399119 0.000153799
-0.029934 0.000144296
-0.019956 0.000138594
-0.00997799 0.000136694
0 0.000138594
0.00997799 0.000144296
0.019956 0.000153799
0.029934 0.000167102
0.0399119 0.000184207
0.0498899 0.000205113
0.0598679 0.000229819
0.0698459 0.000258327
0.0798239 0.000290635
0.0898019 0.000326745
0.0997799 0.000366655
0.109758 0.000410366
0.119736 0.000457878
0.129714 0.000509191
0.139692 0.000564304
0.14967 0.000623218
0.159648 0.000685932
0.169626 0.000752447
0.179604 0.000822762
0.189582 0.000896877
0.19956 0.000974793
0.209538 0.00105651
0.219516 0.00114202
0.229494 0.00123134
0.239472 0.00132446
0.24945 0.00142137
0.259428 0.00152208
0.269406 0.0016266
0.279384 0.00173491
0.289362 0.00184702
0.29934 0.00196294
0.309318 0.00208265
0.319296 0.00220616
0.329274 0.00233346
0.339252 0.00246457
0.34923 0.00259947
0.359208 0.00273817
0.369186 0.00288067
0.379164 0.00302697
0.389142 0.00317707
0.399119 0.00333096
0.409097 0.00348865
0.419075 0.00365013
0.429053 0.00381541
0.439031 0.00398449
0.449009 0.00415736
0.458987 0.00433403
0.468965 0.00451449
0.478943 0.00469875
0.488921 0.0048868
0.498899 0.00507864
0.508877 0.00527428
0.518855 0.00547371
0.528833 0.00567694
0.538811 0.00588395
0.548789 0.00609476
0.558767 0.00630936
0.568745 0.00652774
0.578723 0.00674992
0.588701 0.00697589
0.598679 0.00720564
0.608657 0.00743919
0.618635 0.00767652
0.628613 0.00791763
0.638591 0.00816253
0.648569 0.00841121
0.658547 0.00866368
0.668525 0.00891993
0.678503 0.00917996
0.688481 0.00944376
0.698459 0.00971135
0.708437 0.00998271
0.718415 0.0102578
0.728393 0.0105368
0.738371 0.0108194
0.748349 0.0111059
0.758327 0.0113961
0.768305 0.0116901
0.778283 0.0119878
0.788261 0.0122893
0.798239 0.0125945
0.808217 0.0129035
0.818195 0.0132163
0.828173 0.0135328
0.838151 0.013853
0.848129 0.0141769
0.858107 0.0145045
0.868085 0.0148359
0.878063 0.0151709
0.888041 0.0155097
0.898019 0.0158521
0.907997 0.0161981
0.917975 0.0165477
0.927953 0.0169009
0.937931 0.0172576
0.947909 0.0176177
0.957887 0.0179811
0.967865 0.0183476
0.977843 0.0187167
0.987821 0.0190872
0.997799 0.0194494
1.00778 0.0197658
1.01775 0.020056
1.02773 0.0203286
1.03771 0.0205866
1.04769 0.0208325
1.05767 0.0210678
1.06764 0.0212935
1.07762 0.0215108
1.0876 0.0217202
1.09758 0.0219225
1.10756 0.0221182
1.11753 0.0223077
1.12751 0.0224915
1.13749 0.0226699
1.14747 0.0228432
1.15745 0.0230117
1.16742 0.0231757
1.1774 0.0233354
1.18738 0.023491
1.19736 0.0236428
1.20734 0.0237908
1.21731 0.0239352
1.22729 0.0240763
1.23727 0.0242141
1.24725 0.0243488
1.25723 0.0244806
1.2672 0.0246094
1.27718 0.0247355
1.28716 0.0248589
1.29714 0.0249798
1.30712 0.0250981
1.31709 0.0252141
1.32707 0.0253278
1.33705 0.0254393
1.34703 0.0255486
1.35701 0.0256558
1.36698 0.025761
1.37696 0.0258642
1.38694 0.0259656
1.39692 0.0260651
1.4069 0.0261628
1.41687 0.0262587
1.42685 0.026353
1.43683 0.0264457
1.44681 0.0265368
1.45679 0.0266263
1.46676 0.0267143
1.47674 0.0268009
1.48672 0.026886
1.4967 0.0269697
1.50668 0.0270521
1.51665 0.0271332
1.52663 0.027213
1.53661 0.0272915
1.54659 0.0273688
1.55657 0.0274449
1.56654 0.0275199
1.57652 0.0275937
1.5865 0.0276664
1.59648 0.0277381
1.60646 0.0278087
1.61643 0.0278782
1.62641 0.0279467
1.63639 0.0280143
1.64637 0.0280808
1.65635 0.0281465
1.66632 0.0282112
1.6763 0.028275
1.68628 0.0283379
1.69626 0.0283999
1.70624 0.0284611
1.71621 0.0285215
1.72619 0.0285811
1.73617 0.0286398
1.74615 0.0286978
1.75613 0.028755
1.7661 0.0288115
1.77608 0.0288672
1.78606 0.0289222
1.79604 0.0289765
1.80602 0.0290301
1.81599 0.0290831
1.82597 0.0291353
1.83595 0.0291869
1.84593 0.0292379
1.85591 0.0292882
1.86588 0.0293379
1.87586 0.029387
1.88584 0.0294355
1.89582 0.0294834
1.9058 0.0295307
1.91577 0.0295775
1.92575 0.0296237
1.93573 0.0296694
1.94571 0.0297145
1.95569 0.0297591
1.96566 0.0298032
1.97564 0.0298468
1.98562 0.0298898
1.9956 0.0299324
2.00558 0.0299745
2.01555 0.0300161
2.02553 0.0300572
2.03551 0.0300979
2.04549 0.0301381
2.05547 0.0301779
2.06544 0.0302173
2.07542 0.0302562
2.0854 0.0302946
2.09538 0.0303327
2.10536 0.0303703
2.11533 0.0304076
2.12531 0.0304444
2.13529 0.0304808
2.14527 0.0305169
2.15525 0.0305525
2.16522 0.0305878
2.1752 0.0306227
2.18518 0.0306573
2.19516 0.0306915
2.20514 0.0307253
2.21511 0.0307588
2.22509 0.0307919
2.23507 0.0308247
2.24505 0.0308571
2.25503 0.0308893
2.265 0.0309211
2.27498 0.0309525
2.28496 0.0309837
2.29494 0.0310145
2.30492 0.0310451
2.31489 0.0310753
2.32487 0.0311052
2.33485 0.0311348
2.34483 0.0311642
2.35481 0.0311932
2.36478 0.031222
2.37476 0.0312505
2.38474 0.0312787
2.39472 0.0313066
2.40469 0.0313343
2.41467 0.0313617
2.42465 0.0313888
2.43463 0.0314156
2.44461 0.0314422
2.45458 0.0314686
2.46456 0.0314947
2.47454 0.0315206
2.48452 0.0315462
2.4945 0.0315715
2.50447 0.0315967
2.51445 0.0316216
2.52443 0.0316462
2.53441 0.0316707
2.54439 0.0316949
2.55436 0.0317188
2.56434 0.0317426
2.57432 0.0317661
2.5843 0.0317894
2.59428 0.0318125
2.60425 0.0318354
2.61423 0.0318581
2.62421 0.0318806
2.63419 0.0319029
2.64417 0.0319249
2.65414 0.0319468
2.66412 0.0319685
2.6741 0.0319899
2.68408 0.0320112
2.69406 0.0320323
2.70403 0.0320532
2.71401 0.0320739
2.72399 0.0320944
2.73397 0.0321148
2.74395 0.0321349
2.75392 0.0321549
2.7639 0.0321747
2.77388 0.0321943
2.78386 0.0322138
2.79384 0.0322331
2.80381 0.0322522
2.81379 0.0322711
2.82377 0.0322899
2.83375 0.0323085
2.84373 0.032327
2.8537 0.0323452
2.86368 0.0323634
2.87366 0.0323813
2.88364 0.0323991
2.89362 0.0324168
2.90359 0.0324343
2.91357 0.0324516
2.92355 0.0324688
2.93353 0.0324859
2.94351 0.0325028
2.95348 0.0325195
2.96346 0.0325361
2.97344 0.0325526
2.98342 0.0325689
2.9934 0.0325851
3.00337 0.0326011
3.01335 0.032617
3.02333 0.0326328
3.03331 0.0326484
3.04329 0.0326639
3.05326 0.0326793
3.06324 0.0326945
3.07322 0.0327096
3.0832 0.0327246
3.09318 0.0327394
3.10315 0.0327541
3.11313 0.0327687
3.12311 0.0327831
3.13309 0.0327975
3.14307 0.0328117
3.15304 0.0328258
