# ---X---	---$u_\mathrm{z}$---
3.98122 0.303652
3.99119 0.305176
4.00117 0.306704
4.01115 0.308235
4.02113 0.309771
4.03111 0.31131
4.04108 0.312853
4.05106 0.3144
4.06104 0.31595
4.07102 0.317505
4.081 0.319063
4.09097 0.320625
4.10095 0.322191
4.11093 0.323761
4.12091 0.325335
4.13089 0.326912
4.14086 0.328493
4.15084 0.330078
4.16082 0.331667
4.1708 0.33326
4.18078 0.334856
4.19075 0.336456
4.20073 0.33806
4.21071 0.339668
4.22069 0.34128
4.23067 0.342896
4.24064 0.344515
4.25062 0.346138
4.2606 0.347765
4.27058 0.349396
4.28056 0.35103
4.29053 0.352669
4.30051 0.354311
4.31049 0.355957
4.32047 0.357607
4.33045 0.359261
4.34042 0.360918
4.3504 0.362579
4.36038 0.364244
4.37036 0.365913
4.38034 0.367586
4.39031 0.369263
4.40029 0.370943
4.41027 0.372627
4.42025 0.374315
4.43023 0.376007
4.4402 0.377703
4.45018 0.379402
4.46016 0.381105
4.47014 0.382812
4.48012 0.384523
4.49009 0.386238
4.50007 0.387957
4.51005 0.389679
4.52003 0.391405
4.53001 0.393135
4.53998 0.394869
4.54996 0.396606
4.55994 0.398348
4.56992 0.400093
4.5799 0.401842
4.58987 0.403595
4.59985 0.405352
4.60983 0.407112
4.61981 0.408876
4.62979 0.410645
4.63976 0.412416
4.64974 0.414192
4.65972 0.415972
4.6697 0.417755
4.67968 0.419542
4.68965 0.421333
4.69963 0.423128
4.70961 0.424927
4.71959 0.426729
4.72957 0.428535
4.73954 0.430346
4.74952 0.432159
4.7595 0.433977
4.76948 0.435799
4.77946 0.437624
4.78943 0.439453
4.79941 0.441286
4.80939 0.443123
4.81937 0.444963
4.82935 0.446808
4.83932 0.448656
4.8493 0.450508
4.85928 0.452364
4.86926 0.454224
4.87924 0.456087
4.88921 0.457954
4.89919 0.459826
4.90917 0.4617
4.91915 0.463579
4.92913 0.465462
4.9391 0.467348
4.94908 0.469238
4.95906 0.471132
4.96904 0.47303
4.97902 0.474932
4.98899 0.476837
4.99897 0.478746
5.00895 0.480659
5.01893 0.482576
5.02891 0.484497
5.03888 0.486422
5.04886 0.48835
5.05884 0.490282
5.06882 0.492218
5.0788 0.494158
5.08877 0.496101
5.09875 0.498049
5.09875 0.5
5.09875 0.5
5.08877 0.5
5.0788 0.5
5.06882 0.5
5.05884 0.5
5.04886 0.5
5.03888 0.5
5.02891 0.5
5.01893 0.5
5.00895 0.5
4.99897 0.5
4.98899 0.5
4.97902 0.5
4.96904 0.5
4.95906 0.5
4.94908 0.5
4.9391 0.5
4.92913 0.5
4.91915 0.5
4.90917 0.5
4.89919 0.5
4.88921 0.5
4.87924 0.5
4.86926 0.5
4.85928 0.5
4.8493 0.5
4.83932 0.5
4.82935 0.5
4.81937 0.5
4.80939 0.5
4.79941 0.5
4.78943 0.5
4.77946 0.5
4.76948 0.5
4.7595 0.5
4.74952 0.5
4.73954 0.5
4.72957 0.5
4.71959 0.5
4.70961 0.5
4.69963 0.5
4.68965 0.5
4.67968 0.5
4.6697 0.5
4.65972 0.5
4.64974 0.5
4.63976 0.5
4.62979 0.5
4.61981 0.5
4.60983 0.5
4.59985 0.5
4.58987 0.5
4.5799 0.5
4.56992 0.5
4.55994 0.5
4.54996 0.5
4.53998 0.5
4.53001 0.5
4.52003 0.5
4.51005 0.5
4.50007 0.5
4.49009 0.5
4.48012 0.5
4.47014 0.5
4.46016 0.5
4.45018 0.5
4.4402 0.5
4.43023 0.5
4.42025 0.5
4.41027 0.5
4.40029 0.5
4.39031 0.5
4.38034 0.5
4.37036 0.5
4.36038 0.5
4.3504 0.5
4.34042 0.5
4.33045 0.5
4.32047 0.5
4.31049 0.5
4.30051 0.5
4.29053 0.5
4.28056 0.5
4.27058 0.5
4.2606 0.5
4.25062 0.5
4.24064 0.5
4.23067 0.5
4.22069 0.5
4.21071 0.5
4.20073 0.5
4.19075 0.5
4.18078 0.5
4.1708 0.5
4.16082 0.5
4.15084 0.5
4.14086 0.5
4.13089 0.5
4.12091 0.5
4.11093 0.5
4.10095 0.5
4.09097 0.5
4.081 0.5
4.07102 0.5
4.06104 0.5
4.05106 0.5
4.04108 0.5
4.03111 0.5
4.02113 0.5
4.01115 0.5
4.00117 0.5
3.99119 0.5
3.98122 0.5
3.97124 0.5
3.96126 0.5
3.95128 0.5
3.94131 0.5
3.93133 0.5
3.92135 0.5
3.91137 0.5
3.90139 0.5
3.89142 0.5
3.88144 0.5
3.87146 0.5
3.86148 0.5
3.8515 0.5
3.84153 0.5
3.83155 0.5
3.82157 0.5
3.81159 0.5
3.80161 0.5
3.79164 0.5
3.78166 0.5
3.77168 0.5
3.7617 0.5
3.75172 0.5
3.74175 0.5
3.73177 0.5
3.72179 0.5
3.71181 0.5
3.70183 0.5
3.69186 0.5
3.68188 0.5
3.6719 0.5
3.66192 0.5
3.65194 0.5
3.64197 0.5
3.63199 0.5
3.62201 0.5
3.61203 0.5
3.60205 0.5
3.59208 0.5
3.5821 0.5
3.57212 0.5
3.56214 0.5
3.55216 0.5
3.54219 0.5
3.53221 0.5
3.52223 0.5
3.51225 0.5
3.50227 0.5
3.4923 0.5
3.48232 0.5
3.47234 0.5
3.46236 0.5
3.45238 0.5
3.44241 0.5
3.43243 0.5
3.42245 0.5
3.41247 0.5
3.40249 0.5
3.39252 0.5
3.38254 0.5
3.37256 0.5
3.36258 0.5
3.3526 0.5
3.34263 0.5
3.33265 0.5
3.32267 0.5
3.31269 0.5
3.30271 0.5
3.29274 0.5
3.28276 0.5
3.27278 0.5
3.2628 0.5
3.25282 0.5
3.24285 0.5
3.23287 0.5
3.22289 0.5
3.21291 0.5
3.20293 0.5
3.19296 0.5
3.18298 0.5
3.173 0.5
3.16302 0.5
3.15304 0.5
3.14307 0.5
3.13309 0.5
3.12311 0.5
3.11313 0.5
3.10315 0.5
